_step,eval/episode_terminal_reward,run_id,run_name
778410,19.08592794484181,wdkvk6n2,clear-sweep-1
786545,23.462191039449415,wdkvk6n2,clear-sweep-1
794705,24.295597088217807,wdkvk6n2,clear-sweep-1
802869,19.61301252050597,wdkvk6n2,clear-sweep-1
810981,29.34283003827728,wdkvk6n2,clear-sweep-1
819088,31.949985788284003,wdkvk6n2,clear-sweep-1
827199,32.79700390659499,wdkvk6n2,clear-sweep-1
835314,27.515091631484882,wdkvk6n2,clear-sweep-1
843410,35.29918924986296,wdkvk6n2,clear-sweep-1
851491,30.88270496194155,wdkvk6n2,clear-sweep-1
859555,31.983209894822398,wdkvk6n2,clear-sweep-1
867592,34.28366099359168,wdkvk6n2,clear-sweep-1
875715,31.837852783022633,wdkvk6n2,clear-sweep-1
883832,33.44458004012522,wdkvk6n2,clear-sweep-1
891943,34.008157204697746,wdkvk6n2,clear-sweep-1
900006,34.10767643824596,wdkvk6n2,clear-sweep-1
908096,35.44474456409991,wdkvk6n2,clear-sweep-1
916191,33.60323496043324,wdkvk6n2,clear-sweep-1
924217,34.61063024616235,wdkvk6n2,clear-sweep-1
932253,33.240701102649766,wdkvk6n2,clear-sweep-1
940343,36.65637583716717,wdkvk6n2,clear-sweep-1
948435,36.81800852464163,wdkvk6n2,clear-sweep-1
956464,35.41063770240909,wdkvk6n2,clear-sweep-1
964576,36.03557948285944,wdkvk6n2,clear-sweep-1
972685,36.40074966510498,wdkvk6n2,clear-sweep-1
980783,35.52148148162284,wdkvk6n2,clear-sweep-1
988884,35.85709336545018,wdkvk6n2,clear-sweep-1
996939,35.65553444452688,wdkvk6n2,clear-sweep-1
1005040.0,36.084349302718316,wdkvk6n2,clear-sweep-1
1013130.0,35.02290771023394,wdkvk6n2,clear-sweep-1
1021225.0,36.606625036033066,wdkvk6n2,clear-sweep-1
1029319.0,35.517196088079274,wdkvk6n2,clear-sweep-1
1037423.0,38.02132154863089,wdkvk6n2,clear-sweep-1
1045505.0,37.04204876483865,wdkvk6n2,clear-sweep-1
1053599.0,38.02132154863089,wdkvk6n2,clear-sweep-1
1061692.0,36.22046343948382,wdkvk6n2,clear-sweep-1
1069766.0,37.04204876483865,wdkvk6n2,clear-sweep-1
1077848.0,37.04204876483865,wdkvk6n2,clear-sweep-1
1085929.0,38.02132154863089,wdkvk6n2,clear-sweep-1
1094023.0,38.02132154863089,wdkvk6n2,clear-sweep-1
1102103.0,37.946834369134194,wdkvk6n2,clear-sweep-1
8251,18.398758406507962,1zaxufh1,jolly-sweep-2
16501,18.37101879945952,1zaxufh1,jolly-sweep-2
24764,16.41003024032785,1zaxufh1,jolly-sweep-2
33008,14.87681137340696,1zaxufh1,jolly-sweep-2
41284,20.48384109311081,1zaxufh1,jolly-sweep-2
49539,15.579886286577704,1zaxufh1,jolly-sweep-2
57801,16.987772820728402,1zaxufh1,jolly-sweep-2
66075,17.46145254642898,1zaxufh1,jolly-sweep-2
74313,17.917704394649025,1zaxufh1,jolly-sweep-2
82571,18.064795400084524,1zaxufh1,jolly-sweep-2
90804,19.82097582636366,1zaxufh1,jolly-sweep-2
99063,18.464941728364373,1zaxufh1,jolly-sweep-2
107339,13.15976782668948,1zaxufh1,jolly-sweep-2
115576,22.199765263459575,1zaxufh1,jolly-sweep-2
123848,14.379810671349187,1zaxufh1,jolly-sweep-2
132082,15.010679190445439,1zaxufh1,jolly-sweep-2
140346,19.82531692127009,1zaxufh1,jolly-sweep-2
148600,15.532204663287597,1zaxufh1,jolly-sweep-2
156854,13.339384723890529,1zaxufh1,jolly-sweep-2
165111,15.641821979499706,1zaxufh1,jolly-sweep-2
173360,18.850392501118584,1zaxufh1,jolly-sweep-2
181572,22.595365892940823,1zaxufh1,jolly-sweep-2
189792,12.086730386645979,1zaxufh1,jolly-sweep-2
198017,16.65457940691632,1zaxufh1,jolly-sweep-2
206280,20.696743615427685,1zaxufh1,jolly-sweep-2
214526,21.359101356388916,1zaxufh1,jolly-sweep-2
222746,20.246389359294284,1zaxufh1,jolly-sweep-2
230996,13.809537626495274,1zaxufh1,jolly-sweep-2
239228,16.541306399651653,1zaxufh1,jolly-sweep-2
247468,18.91813248745358,1zaxufh1,jolly-sweep-2
255695,23.60271369754513,1zaxufh1,jolly-sweep-2
263884,14.980877520003506,1zaxufh1,jolly-sweep-2
272110,19.620303566960867,1zaxufh1,jolly-sweep-2
280317,14.360802188938951,1zaxufh1,jolly-sweep-2
288499,13.635154992561743,1zaxufh1,jolly-sweep-2
296732,21.555363814296406,1zaxufh1,jolly-sweep-2
304943,20.78047183985609,1zaxufh1,jolly-sweep-2
313137,22.479546146191772,1zaxufh1,jolly-sweep-2
321363,24.105034846824555,1zaxufh1,jolly-sweep-2
329561,23.81764436404872,1zaxufh1,jolly-sweep-2
337718,25.553903732232662,1zaxufh1,jolly-sweep-2
345906,20.102813983007763,1zaxufh1,jolly-sweep-2
353987,25.284546676388864,1zaxufh1,jolly-sweep-2
362088,22.831257802296367,1zaxufh1,jolly-sweep-2
370165,26.21820121314529,1zaxufh1,jolly-sweep-2
378329,28.727563872655473,1zaxufh1,jolly-sweep-2
386469,25.230414969411015,1zaxufh1,jolly-sweep-2
394626,27.533073817225706,1zaxufh1,jolly-sweep-2
402795,29.42812739225409,1zaxufh1,jolly-sweep-2
410934,28.766609799414653,1zaxufh1,jolly-sweep-2
419093,29.894811960563157,1zaxufh1,jolly-sweep-2
427212,30.177607411840484,1zaxufh1,jolly-sweep-2
435280,30.819840228793492,1zaxufh1,jolly-sweep-2
443451,31.631772027466003,1zaxufh1,jolly-sweep-2
451521,31.77205480990358,1zaxufh1,jolly-sweep-2
459678,30.877172272289727,1zaxufh1,jolly-sweep-2
467837,30.638340159380675,1zaxufh1,jolly-sweep-2
475955,31.194707332386763,1zaxufh1,jolly-sweep-2
