name,x,y
1,2324422.1,385641.8
2,2324540.7,385298.5
3,2324875.4,385390.6
4,2324392.7,384924.5
5,2324314.3,384960.5
6,2324195.7,384885.0
7,2324210.5,384984.5
8,2324181.1,385080.6
9,2324265.6,385064.1
10,2324056.8,384949.5
11,2324121.9,384842.1
12,2324027.6,384892.7
13,2324055.7,384795.8
14,2323943.1,384817.7
15,2323982.9,384654.0
16,2324136.4,384721.4
17,2324212.0,384791.5
18,2324291.2,384787.8
19,2324384.7,384778.6
20,2323720.6,383778.5
21,2323831.5,384114.3
22,2323724.7,384020.0
23,2323436.0,384053.7
24,2323815.0,384435.7
25,2323003.8,385115.4
26,2323026.0,384889.6
27,2322809.6,384537.4
28,2322610.9,384977.4
29,2322546.1,384968.2
30,2322061.2,384354.9
31,2321283.6,383454.1
32,2320814.7,383634.5
33,2320370.3,383205.3
34,2320429.1,383028.9
35,2320533.3,382834.5
36,2320613.9,382788.5
37,2320519.9,382396.2
38,2320463.3,382478.8
39,2320435.4,382566.9
40,2320505.9,382634.2
41,2320471.0,382756.5
42,2320364.6,382809.7
43,2320316.0,382299.3
44,2320450.0,382291.2
45,2320605.2,382233.4
46,2320505.4,382119.1
47,2320822.7,382193.5
48,2320747.8,382272.2
49,2320682.5,382320.8
50,2320788.8,382373.5
51,2320868.0,382454.2
52,2321077.1,382390.8
53,2320903.1,382280.1
54,2320961.5,382204.3
55,2320948.7,382077.6
56,2321116.5,382043.1
57,2321111.0,381958.5
58,2321236.9,381972.8
59,2321278.0,382058.6
60,2321309.9,381947.2
61,2321339.8,381849.6
62,2321401.7,381829.5
63,2321489.7,381893.2
64,2321516.7,381806.0
65,2321624.9,381918.8
66,2321578.1,381944.4
67,2321508.4,381990.1
68,2321526.5,382040.9
69,2321591.2,382119.5
70,2321516.8,382178.0
71,2321631.8,382189.3
72,2321695.3,382077.4
73,2321808.3,382078.3
74,2321770.4,382002.8
75,2321801.3,381916.7
76,2321920.7,381957.5
77,2321957.1,381869.4
78,2321782.6,381684.3
79,2321747.7,381615.8
80,2321664.0,381763.2
81,2321608.7,381744.4
82,2321686.9,381861.7
83,2321542.3,381706.1
84,2321651.9,381593.0
85,2321526.5,381592.4
86,2321508.7,381521.2
87,2321493.3,381456.3
88,2321493.8,381391.1
89,2321464.9,381336.4
90,2321626.4,381264.9
91,2321631.4,381399.1
92,2321681.9,381485.9
93,2321856.8,381500.2
94,2321815.0,381467.7
95,2322112.0,381517.4
96,2321866.3,381201.4
97,2321978.4,381125.4
98,2321887.7,381075.2
99,2321916.4,381022.5
100,2322052.2,381082.4
101,2322005.2,380939.3
102,2322101.8,381008.9
103,2322271.6,380874.6
104,2322328.1,380936.0
105,2322394.3,380979.5
106,2322432.6,381038.0
107,2322397.3,381190.5
108,2322569.6,381092.2
109,2322629.4,381093.0
110,2322696.9,381153.2
111,2322709.4,381034.9
112,2322661.9,380953.7
113,2322778.2,380940.7
114,2322703.2,380855.3
115,2322743.7,380782.3
116,2322651.8,380782.2
117,2322625.2,380867.9
118,2322579.1,380861.8
119,2322502.3,380909.1
120,2322555.2,380983.6
121,2322522.5,380767.4
122,2322450.8,380739.4
123,2322424.0,380649.5
124,2322359.1,380578.3
125,2322377.0,380489.3
126,2322447.3,380502.2
127,2322495.9,380523.6
128,2322464.6,380453.0
129,2322413.8,380427.2
130,2322361.5,380383.8
131,2322290.1,380419.2
132,2322276.1,380466.9
133,2322225.2,380463.4
134,2322282.4,380545.9
135,2322132.4,380646.4
