name,lon,lat
1,-86.5827777,39.209908
2,-86.5759527,39.1722967
3,-86.571153,39.193705
4,-86.5680485,39.1791831
5,-86.583112,39.1794158
6,-86.5496474,39.1686399
7,-86.5500902,39.1835589
8,-86.5548109,39.1831597
9,-86.5549933,39.1791429
10,-86.5470754,39.1791263
11,-86.5377947,39.1865689
12,-86.5326635,39.1468984
13,-86.5471502,39.2007376
14,-86.5313468,39.1214443
15,-86.5269367,39.1468925
16,-86.5829738,39.1646556
17,-86.534324,39.1613287
18,-86.5826144,39.1233065
19,-86.5826359,39.1419483
20,-86.5386584,39.1685497
21,-86.5689995,39.1497969
22,-86.5715101,39.1578671
23,-86.5826352,39.1567233
24,-86.5825949,39.1513092
25,-86.5767585,39.1512427
26,-86.577767,39.1451521
27,-86.5927015,39.1645866
28,-86.591693,39.1542877
29,-86.5830327,39.1719786
30,-86.5924312,39.1703983
31,-86.5983535,39.1701321
32,-86.5990831,39.1649416
33,-86.5275852,39.1642978
34,-86.5276027,39.168511
35,-86.5234868,39.1684902
36,-86.5234868,39.1716593
37,-86.5190115,39.1716488
38,-86.5191188,39.1751588
39,-86.5235927,39.175217
40,-86.5276508,39.171655
41,-86.5342741,39.1716405
42,-86.5341454,39.1789762
43,-86.5283263,39.1790136
44,-86.5224844,39.1790219
45,-86.5189964,39.1790763
46,-86.5284248,39.1863174
47,-86.5519711,39.164427
48,-86.5484897,39.1607606
49,-86.5508025,39.1603672
50,-86.5505598,39.1558477
51,-86.5433674,39.155646
52,-86.5387111,39.1537949
53,-86.5387111,39.1614362
54,-86.5387326,39.1665936
55,-86.5613865,39.156112
56,-86.5602019,39.1644663
57,-86.5391725,39.1216168
58,-86.5266412,39.1214296
59,-86.5269416,39.1360982
60,-86.5082734,39.1363037
61,-86.5174855,39.1360124
62,-86.5183156,39.1307112
63,-86.5268128,39.1308777
64,-86.5174992,39.1467543
65,-86.515096,39.1505317
66,-86.5084656,39.1505317
67,-86.4964278,39.1357703
68,-86.4982907,39.1504146
69,-86.4983265,39.164175
70,-86.5084867,39.1642166
71,-86.4908122,39.1534431
72,-86.4976786,39.1552068
73,-86.5095022,39.171503
74,-86.4907264,39.1594996
75,-86.4978288,39.160997
76,-86.5085148,39.1610802
77,-86.4812733,39.1642755
78,-86.472152,39.1643636
79,-86.4827736,39.1726483
80,-86.5022699,39.1716658
81,-86.4954305,39.1714618
82,-86.4950067,39.1642543
83,-86.4907581,39.1641877
84,-86.4958016,39.1757415
85,-86.504213,39.175309
86,-86.50726,39.1798144
87,-86.5156285,39.1716137
88,-86.5164095,39.1642785
89,-86.5115608,39.1215724
90,-86.5269786,39.1506043
91,-86.5337163,39.1505377
92,-86.538278,39.1360851
93,-86.5625178,39.1221867
94,-86.54878,39.1363835
95,-86.5389095,39.1460694
96,-86.5317249,39.164595
97,-86.5317033,39.1685232
98,-86.5329426,39.1716424
99,-86.5329694,39.1685378
100,-86.5385645,39.1732456
101,-86.5550868,39.1732227
102,-86.5311195,39.1360035
103,-86.5826223,39.1368286
104,-86.4804564,39.1501752
105,-86.4713986,39.1502854
106,-86.4807541,39.1359068
107,-86.4895497,39.12146
108,-86.522638,39.1643161
109,-86.522638,39.150556
110,-86.5226487,39.1578593
111,-86.5085165,39.1578567
112,-86.5270884,39.1578395
113,-86.5272131,39.161368
114,-86.5163804,39.1578194
115,-86.5386434,39.1714256
116,-86.5196679,39.1859341
117,-86.5344816,39.1863181
118,-86.5830444,39.190493
119,-86.5376949,39.1790534
120,-86.538692,39.164637
121,-86.5790792,39.1645974
122,-86.5470802,39.1732452
123,-86.5337005,39.1645997
124,-86.533637,39.1666049
125,-86.5342348,39.1733273
126,-86.5298432,39.1645972
127,-86.533711,39.1555545
128,-86.5298017,39.1665279
129,-86.5297842,39.1685331
130,-86.5297595,39.1716706
131,-86.5317224,39.1665762
132,-86.5299114,39.1613607
133,-86.5226626,39.1611009
134,-86.5163862,39.1610926
135,-86.4913864,39.1503353
136,-86.5270475,39.1556043
137,-86.5317339,39.1614006
138,-86.5318198,39.1555882
139,-86.5319056,39.150563
140,-86.5317983,39.1583309
141,-86.5387111,39.1574721
142,-86.528349,39.1759709
143,-86.5341962,39.1759543

